,0,1,2,3
45,Domaine la Boutinière 2016 Grande Réserve Red (Châteauneuf-du-Pape),90,"In this wine, hints of white mushroom, earth and balsamic vinegar lend ...",$80
46,Fanni Kertje 2001 Szamorodni  (Tokaji),89,"This amber-colored, old style, Hungarian Szamorodni is perfect for fans of aged ...",$28
47,Ixsir 2017 EL White (Lebanon),89,This blend of Viognier and Chardonnay proffers a bouquet of pear and ...,$40
48,Early Mountain 2018 Five Forks White (Virginia),89,Loads of ripe Satsuma orange and Meyer lemon on the palate are ...,$25
49,Markus Wine Co 2018 Nativo White (Lodi),89,"Fresh melon and apple flavors fill up this medium-bodied, fruity wine made ...",$22
50,Naggiar 2018 Mamma Mia Estate White (Sierra Foothills),89,"Tasting fresh and fruity, this medium-bodied wine offers fragrant apple and peach ...",$25
51,Roblar 2018 Cuvée Blanc White (Santa Ynez Valley),89,"Nicely rounded aromas of yellow apple, mango, guava and buttered toast show ...",N/A
52,Château de Nages 2018 Buti Nages White (Costières de Nîmes),89,This unoaked blend of Grenache Blanc and Roussane offers a crush of ...,$12
53,Alain Jaume et Fils 2018 Réserve Grand Veneur White (Côtes du Rhône),89,Forward notes of apricots and spring blossoms are dusted by crushed stone ...,$15
54,Casa Ferreirinha 2016 Quinta da Leda Red (Douro),96,The wine comes from a great estate in the Douro Superior that ...,$75
55,Luis Duarte 2016 Rubrica Red (Alentejano),95,"Fermented in open vats, the wine has a rich, full texture. Dark ...",$50
56,Quinta dos Murças 2013 Reserva Red (Douro),94,This is a rich wine based on a field blend of traditional ...,$45
57,Monte da Ravasqueira 2017 Vinha das Romas Red (Alentejano),94,"A powerful blend of Syrah and Touriga Franca, this is a dense ...",$28
58,Palato do Côa 2014 Grande Reserva Red (Douro),94,"Produced from old vines in a field blend, the wine comes from ...",$65
59,Quinta de Chocapalha 2016 CH by Chocapalha Touriga Nacional (Lisboa),94,Aromas of rich black fruits lead to a powerful wine that has ...,$50
60,Bernard Magrez 2015 Ariela Red (Douro),93,"Owner of a large number of estates in Bordeaux, this producer also ...",$22
61,Poças 2017 Poças Reserva Red (Douro),93,"This perfumed, wood-aged wine comes from a field blend of grapes from ...",$60
